date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016/7/1 0:00,41.130 ,12.481 ,36.536 ,9.355 ,4.424 ,1.311 ,38.662 
2016/7/1 1:00,37.528 ,10.136 ,33.936 ,7.532 ,4.435 ,1.215 ,37.124 
2016/7/1 2:00,37.947 ,11.309 ,35.330 ,9.007 ,2.100 ,0.000 ,36.465 
2016/7/1 3:00,38.952 ,11.895 ,35.544 ,9.436 ,3.380 ,1.215 ,33.609 
2016/7/1 4:00,38.114 ,11.476 ,35.410 ,9.623 ,2.036 ,0.000 ,31.851 
2016/7/1 5:00,36.774 ,10.974 ,34.928 ,9.248 ,2.036 ,0.000 ,30.532 
2016/7/1 6:00,39.036 ,11.811 ,37.153 ,10.079 ,2.036 ,0.000 ,30.093 
2016/7/1 7:00,39.371 ,11.309 ,36.536 ,9.409 ,2.068 ,0.000 ,29.873 
2016/7/1 8:00,33.926 ,8.461 ,31.899 ,6.487 ,2.015 ,0.000 ,29.653 
2016/7/1 9:00,38.449 ,13.905 ,37.287 ,12.143 ,1.269 ,0.000 ,29.213 
2016/7/1 10:00,35.936 ,9.550 ,34.258 ,8.042 ,1.269 ,0.000 ,27.456 
2016/7/1 11:00,35.769 ,9.466 ,33.936 ,7.908 ,1.269 ,0.000 ,27.456 
2016/7/1 12:00,40.209 ,12.984 ,38.761 ,11.098 ,1.343 ,0.000 ,27.236 
2016/7/1 13:00,37.025 ,11.895 ,35.732 ,10.427 ,1.386 ,0.000 ,26.577 
2016/7/1 14:00,39.957 ,13.319 ,38.573 ,11.419 ,1.290 ,0.000 ,26.797 
2016/7/1 15:00,40.292 ,13.487 ,39.056 ,11.875 ,1.269 ,0.000 ,26.797 
2016/7/1 16:00,40.879 ,13.570 ,39.458 ,11.848 ,1.493 ,0.000 ,26.797 
2016/7/1 17:00,42.135 ,13.403 ,39.244 ,11.285 ,2.708 ,0.000 ,26.577 
2016/7/1 18:00,42.722 ,13.989 ,39.378 ,11.607 ,2.708 ,0.000 ,26.577 
2016/7/1 19:00,37.361 ,10.471 ,34.472 ,8.605 ,2.708 ,0.000 ,26.138 
2016/7/1 20:00,41.130 ,12.649 ,37.769 ,10.401 ,2.708 ,0.000 ,26.138 
2016/7/1 21:00,36.523 ,10.471 ,33.507 ,8.497 ,2.708 ,0.000 ,25.698 
2016/7/1 22:00,36.104 ,10.387 ,34.124 ,9.007 ,2.708 ,0.000 ,25.918 
2016/7/1 23:00,36.439 ,10.639 ,33.480 ,8.926 ,2.708 ,0.000 ,25.918 
2016/7/2 0:00,35.601 ,11.476 ,33.695 ,9.891 ,1.535 ,0.000 ,25.918 
2016/7/2 1:00,32.921 ,9.968 ,32.274 ,8.819 ,0.000 ,0.000 ,26.358 
2016/7/2 2:00,31.329 ,9.550 ,30.344 ,8.497 ,0.000 ,0.000 ,26.138 
2016/7/2 3:00,30.659 ,9.214 ,29.835 ,8.256 ,0.000 ,0.000 ,25.698 
2016/7/2 4:00,30.827 ,9.131 ,29.754 ,8.015 ,1.215 ,0.000 ,25.698 
2016/7/2 5:00,29.486 ,8.293 ,28.548 ,7.157 ,0.000 ,0.000 ,25.918 
2016/7/2 6:00,30.073 ,7.455 ,28.682 ,6.112 ,1.290 ,0.000 ,25.918 
2016/7/2 7:00,33.088 ,8.712 ,30.961 ,7.023 ,1.258 ,0.000 ,25.918 
2016/7/2 8:00,34.094 ,8.879 ,31.550 ,7.398 ,2.484 ,0.000 ,25.479 
2016/7/2 9:00,34.596 ,9.382 ,31.979 ,7.613 ,2.484 ,0.000 ,25.698 
2016/7/2 10:00,29.821 ,8.125 ,27.503 ,6.621 ,2.484 ,0.000 ,25.918 
2016/7/2 11:00,31.581 ,7.707 ,28.763 ,6.004 ,2.484 ,0.000 ,25.918 
2016/7/2 12:00,30.575 ,7.204 ,27.958 ,5.790 ,2.484 ,0.000 ,26.138 
2016/7/2 13:00,30.156 ,7.204 ,27.395 ,5.522 ,2.484 ,0.000 ,26.358 
2016/7/2 14:00,29.319 ,6.450 ,26.404 ,4.879 ,2.484 ,0.000 ,26.577 
2016/7/2 15:00,30.910 ,7.455 ,27.824 ,5.736 ,2.484 ,0.000 ,27.456 
2016/7/2 16:00,32.334 ,8.712 ,28.360 ,6.621 ,3.881 ,1.226 ,27.676 
2016/7/2 17:00,32.167 ,7.707 ,28.360 ,5.736 ,3.763 ,0.000 ,28.115 
2016/7/2 18:00,31.832 ,7.539 ,28.950 ,5.790 ,3.753 ,0.000 ,28.555 
2016/7/2 19:00,32.251 ,8.293 ,27.824 ,5.978 ,3.753 ,1.226 ,28.774 
2016/7/2 20:00,31.916 ,7.539 ,27.422 ,5.388 ,5.043 ,1.237 ,29.653 
2016/7/2 21:00,31.329 ,8.377 ,28.682 ,6.594 ,3.604 ,0.000 ,29.213 
2016/7/2 22:00,36.104 ,9.550 ,32.515 ,7.157 ,4.883 ,1.589 ,27.896 
2016/7/2 23:00,36.020 ,10.052 ,32.569 ,7.908 ,3.433 ,0.000 ,27.236 
2016/7/3 0:00,36.355 ,9.968 ,32.515 ,7.827 ,3.433 ,0.000 ,27.676 
2016/7/3 1:00,35.183 ,12.063 ,31.390 ,9.784 ,3.433 ,1.322 ,28.555 
2016/7/3 2:00,36.858 ,11.225 ,32.676 ,8.792 ,3.433 ,1.237 ,28.555 
2016/7/3 3:00,35.183 ,10.471 ,32.060 ,8.524 ,3.433 ,0.000 ,28.555 
2016/7/3 4:00,32.167 ,8.879 ,28.709 ,6.916 ,3.433 ,0.000 ,28.115 
2016/7/3 5:00,34.010 ,10.136 ,30.451 ,8.283 ,3.433 ,0.000 ,28.115 
2016/7/3 6:00,34.177 ,10.220 ,32.301 ,8.900 ,1.983 ,0.000 ,27.896 
2016/7/3 7:00,32.753 ,8.963 ,29.594 ,7.077 ,3.156 ,0.000 ,27.676 
2016/7/3 8:00,32.418 ,8.879 ,29.406 ,7.130 ,3.156 ,0.000 ,27.236 
